Sample “output.txt”: 
Simulating Round-Robin Process Scheduling:

[Time 1.00]	[Process 1]	[Started]	[Remaining 5.00]		 START 
[Time 1.00]	[Process 1]	[Resumed]	[Remaining 5.00]
[Time 1.50]	[Process 1]	[Paused]	[Remaining 4.50]	
[Time 1.50]	[Process 2]	[Started]	[Remaining 3.00]		 START 
[Time 1.50]	[Process 2]	[Resumed]	[Remaining 3.00]
[Time 1.80]	[Process 2]	[Paused]	[Remaining 2.70]	
[Time 1.80]	[Process 3]	[Started]	[Remaining 1.00]		 START 
[Time 1.80]	[Process 3]	[Resumed]	[Remaining 1.00]
[Time 1.90]	[Process 3]	[Paused]	[Remaining 0.90]	
[Time 1.90]	[Process 3]	[Resumed]	[Remaining 0.90]
[Time 1.99]	[Process 3]	[Paused]	[Remaining 0.81]	
[Time 1.99]	[Process 3]	[Resumed]	[Remaining 0.81]
[Time 2.07]	[Process 3]	[Paused]	[Remaining 0.73]	
[Time 2.07]	[Process 3]	[Resumed]	[Remaining 0.73]
[Time 2.14]	[Process 3]	[Paused]	[Remaining 0.66]	
[Time 2.14]	[Process 3]	[Resumed]	[Remaining 0.66]
[Time 2.21]	[Process 3]	[Paused]	[Remaining 0.59]	
[Time 2.21]	[Process 3]	[Resumed]	[Remaining 0.59]
[Time 2.27]	[Process 3]	[Paused]	[Remaining 0.53]	
[Time 2.27]	[Process 3]	[Resumed]	[Remaining 0.53]
[Time 2.32]	[Process 3]	[Paused]	[Remaining 0.48]	
[Time 2.32]	[Process 3]	[Resumed]	[Remaining 0.48]
[Time 2.37]	[Process 3]	[Paused]	[Remaining 0.43]	
[Time 2.37]	[Process 3]	[Resumed]	[Remaining 0.43]
[Time 2.41]	[Process 3]	[Paused]	[Remaining 0.39]	
[Time 2.41]	[Process 3]	[Resumed]	[Remaining 0.39]
[Time 2.45]	[Process 3]	[Paused]	[Remaining 0.35]	
[Time 2.45]	[Process 3]	[Resumed]	[Remaining 0.35]
[Time 2.49]	[Process 3]	[Paused]	[Remaining 0.31]	
[Time 2.49]	[Process 3]	[Resumed]	[Remaining 0.31]
[Time 2.52]	[Process 3]	[Paused]	[Remaining 0.28]	
[Time 2.52]	[Process 3]	[Resumed]	[Remaining 0.28]
[Time 2.55]	[Process 3]	[Paused]	[Remaining 0.25]	
[Time 2.55]	[Process 3]	[Resumed]	[Remaining 0.25]
[Time 2.57]	[Process 3]	[Paused]	[Remaining 0.23]	
[Time 2.57]	[Process 3]	[Resumed]	[Remaining 0.23]
[Time 2.59]	[Process 3]	[Paused]	[Remaining 0.21]	
[Time 2.59]	[Process 3]	[Resumed]	[Remaining 0.21]
[Time 2.61]	[Process 3]	[Paused]	[Remaining 0.19]	
[Time 2.61]	[Process 3]	[Resumed]	[Remaining 0.19]
